title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
Calma,3.9,3795,HaTayelet,Ashdod,,IL,http://www.calmashdod.com/,+972 8-866-7241,Restaurant,https://www.google.com/maps/search/?api=1&query=Calma&query_place_id=ChIJ7-RHdRGjAhURYprSPMH_Xj0
Captain Hook,4.2,294,"עמיעד 13, Rabi Khanina St 1",Tel Aviv-Yafo,,IL,https://captainhook.co.il/,+972 3-644-5440,Restaurant,https://www.google.com/maps/search/?api=1&query=Captain%20Hook&query_place_id=ChIJ06oZ2vpNHRURxYzrVi9dttc
נודלסושי,3.6,5,Shalom Shabazi St 34/4,Dimona,,IL,https://nudlesushi.wixsite.com/sushi,+972 50-838-0016,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A0%D7%95%D7%93%D7%9C%D7%A1%D7%95%D7%A9%D7%99&query_place_id=ChIJkatiYlRPAhUR_xX5n8pKx9Y
Dosh meat grill,4.1,2509,Ha-Amal St 15,Bat Yam,,IL,https://dosh.co.il/,+972 3-547-7779,Chophouse restaurant,https://www.google.com/maps/search/?api=1&query=Dosh%20meat%20grill&query_place_id=ChIJlxpF4QuzAhURRpGUaGNcStw
Monka Restaurant,4.0,692,Yehuda Hayamit St 15,Tel Aviv-Yafo,,IL,https://israelbusinessguide.com/catalog/tel-aviv/monka_restaurant/,+972 3-682-0723,Bulgarian restaurant,https://www.google.com/maps/search/?api=1&query=Monka%20Restaurant&query_place_id=ChIJF_N6GLpMHRURe4kQhmrtSRY
‎Tony's Tapas Bar & Pizza,4.8,258,Louis Pasteur St 3,Tel Aviv-Yafo,,IL,https://www.b144.co.il/B144_sip/4A1404134470655D4C140C154573645E4B.aspx,+972 50-861-3132,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=%E2%80%8ETony's%20Tapas%20Bar%20%26%20Pizza&query_place_id=ChIJH4yC3ZlNHRURrTxYHJgk9ws
Fairouz Cafe,4.4,650,"1, Louis Pasteur St 5",Tel Aviv-Yafo,,IL,https://bestrest.rest/place.php?lang=il&placeID=891&name=Fairouz+Cafe,+972 50-549-5536,Coffee shop,https://www.google.com/maps/search/?api=1&query=Fairouz%20Cafe&query_place_id=ChIJG1bzfLhMHRURLxGnBo20ho4
Nalaga'at Center,4.7,2251,"חניון נמל יפו, רציף העלייה השנייה, נמל יפו חניה קרובה:",Tel Aviv-Yafo,,IL,http://www.nalagaat.org.il/,+972 3-633-0808,Cultural center,https://www.google.com/maps/search/?api=1&query=Nalaga'at%20Center&query_place_id=ChIJz7coocdMHRURAfec_PSq92g
Talassa,4.4,1058,Derech Ben Gurion 136,Bat Yam,,IL,https://talassa.co.il/,+972 3-740-1939,Restaurant,https://www.google.com/maps/search/?api=1&query=Talassa&query_place_id=ChIJYwelR4OzAhURLpLvg2ZYheI
The Jack ג׳ק פאב,4.4,1920,"מרכז מסחרי חוף דלילה, Yefe Nof St 15",Ashkelon,,IL,https://linktr.ee/thejackpub?utm_source=linktree_profile_share,+972 8-673-7206,Bar,https://www.google.com/maps/search/?api=1&query=The%20Jack%20%D7%92%D7%B3%D7%A7%20%D7%A4%D7%90%D7%91&query_place_id=ChIJFVpoQVGcAhURRnTOyPBYV3k
HaZedef,4.2,3453,Shim'on Israeli St 4,Rishon LeZion,,IL,https://zedef.co.il/,+972 3-962-7111,Seafood restaurant,https://www.google.com/maps/search/?api=1&query=HaZedef&query_place_id=ChIJgSVXzKKzAhURtsk1QTb1CpU
DEDA חוויה גאורגית מקורית (דדה),4.2,1432,Derech Ben Gurion 61,Bat Yam,,IL,http://www.deda.co.il/,+972 1-700-700-165,Georgian restaurant,https://www.google.com/maps/search/?api=1&query=DEDA%20%D7%97%D7%95%D7%95%D7%99%D7%94%20%D7%92%D7%90%D7%95%D7%A8%D7%92%D7%99%D7%AA%20%D7%9E%D7%A7%D7%95%D7%A8%D7%99%D7%AA%20(%D7%93%D7%93%D7%94)&query_place_id=ChIJ-_whqCKzAhURviSqpnRRj3g
JASIA,4.3,1564,Louis Pasteur St 7,Tel Aviv-Yafo,,IL,https://www.jasia.co.il/,+972 3-932-3222,Asian restaurant,https://www.google.com/maps/search/?api=1&query=JASIA&query_place_id=ChIJud9rg8dMHRURgmuX8UpjJo4
Italkiya | איטלקיה בפשפשים,4.1,2076,Olei Zion St 16,Tel Aviv-Yafo,,IL,https://www.italkiya.co.il/,+972 51-553-1525,Italian restaurant,https://www.google.com/maps/search/?api=1&query=Italkiya%20%7C%20%D7%90%D7%99%D7%98%D7%9C%D7%A7%D7%99%D7%94%20%D7%91%D7%A4%D7%A9%D7%A4%D7%A9%D7%99%D7%9D&query_place_id=ChIJOUpWW7lMHRURGN1HJri7q_w
Eri-Ethio Restaurant,4.4,34,Mesilat Yesharim St 90,Tel Aviv-Yafo,,IL,https://www.facebook.com/Eri.Ethio.Restaurant.org/,,Ethiopian restaurant,https://www.google.com/maps/search/?api=1&query=Eri-Ethio%20Restaurant&query_place_id=ChIJRwrc7WBLHRUR5H-p3CUXrpw
פינטה אשדוד,4.4,2573,HaBana'im St 1,Ashdod,,IL,https://www.facebook.com/www.pintarest.co.il?mibextid=LQQJ4d,+972 8-856-6069,Restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%99%D7%A0%D7%98%D7%94%20%D7%90%D7%A9%D7%93%D7%95%D7%93&query_place_id=ChIJ15owgWujAhURQefrrzqP9oo
Faruk BaShuk,4.2,3284,Nakhman St 6,Tel Aviv-Yafo,,IL,https://faruk-bashuk.co.il/,+972 3-651-5670,Restaurant,https://www.google.com/maps/search/?api=1&query=Faruk%20BaShuk&query_place_id=ChIJc5KjVrVMHRURAJFAmVWkHfk
PokeShop Rothschild,4.0,117,Herzl St 10,Tel Aviv-Yafo,,IL,https://pokeshop.co.il/,+972 3-653-0883,Poke bar,https://www.google.com/maps/search/?api=1&query=PokeShop%20Rothschild&query_place_id=ChIJJZGbT0RNHRURH0PGwBZ4Elk
Jerusalem International YMCA,4.3,869,King David St 26,Jerusalem,,IL,https://www.ymca.org.il/,+972 2-569-2692,Community center,https://www.google.com/maps/search/?api=1&query=Jerusalem%20International%20YMCA&query_place_id=ChIJz4UMFNMpAxURKAvvZcXTVeQ
Shiraz Restaurant,4.4,7,Kramim Hotel,Kiryat Anavim,,IL,https://www.isrotel.com/eventsmain/hangouts/restaurants/jerusalem/shiraz/,,Fine dining restaurant,https://www.google.com/maps/search/?api=1&query=Shiraz%20Restaurant&query_place_id=ChIJUxo2c1TRAhURKST85IykMPA
Toasty,4.2,5,Baba Sali St 103,Dimona,,IL,https://toasty.ross-kingdom.com/,+972 8-946-1666,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=Toasty&query_place_id=ChIJEwhY5C9HAhUROoosS7NIUJ4
מסעדת לה קוזין La cuisine restaurant,4.6,32,HaBana'im St 5,Ashdod,,IL,https://www.facebook.com/LaCuisinechef,+972 50-948-6135,Restaurant,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A1%D7%A2%D7%93%D7%AA%20%D7%9C%D7%94%20%D7%A7%D7%95%D7%96%D7%99%D7%9F%20La%20cuisine%20restaurant&query_place_id=ChIJgfdC7VKjAhURPFK4df6wPTM
Dinings Restaurant,3.9,17,Nachmani St 25,Tel Aviv-Yafo,,IL,https://www.thenorman.com/restaurants-and-bar/dinings/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-property-the-norman-hotel-dinings-restaurant,+972 3-543-5444,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=Dinings%20Restaurant&query_place_id=ChIJF43KhB5LHRURUYEUX1DalJQ
Ramesses by the box Restaurant,4.1,2261,"הגמנסיה העברית פינת, Ben Perachyah St 7",Tel Aviv-Yafo,,IL,http://ramessesjaffa.com/,+972 3-616-3885,Restaurant,https://www.google.com/maps/search/?api=1&query=Ramesses%20by%20the%20box%20Restaurant&query_place_id=ChIJgxTyur5MHRURQHBSqsH5nk8
Castle,4.5,3044,Ha-Atsma'ut St 85,Ashdod,,IL,https://www.castlebar.co.il/menu?lang=he,+972 54-956-1777,Bar & grill,https://www.google.com/maps/search/?api=1&query=Castle&query_place_id=ChIJeWrN1_iiAhURrtEyehsFqqI
mishlohim pizza,4.0,85,Kharuv St 26,Dimona,,IL,https://www.mishlohim.co.il/menu/8982/,+972 8-999-9645,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=mishlohim%20pizza&query_place_id=ChIJKcG7LlhPAhURDSWKdYZ-8ck
Fish Royale,4.5,4972,פאול גרונינגר 4,Rishon LeZion,,IL,http://www.fishroyal.co.il/,+972 3-961-1169,Seafood restaurant,https://www.google.com/maps/search/?api=1&query=Fish%20Royale&query_place_id=ChIJ2W6CR6OzAhUR-9fm2YNJbMc
Gambrinus,4.5,7086,"שדרות מנחם בגין פינת, Sderot Bnei Brit",Ashdod,,IL,https://gambrinus.co.il/,+972 8-865-5719,Restaurant,https://www.google.com/maps/search/?api=1&query=Gambrinus&query_place_id=ChIJT-5tmPmiAhUR7AzTa3oUFg8
Ibrahim Restaurant,4.2,403,Kikar Palmakh 71237,Lod,,IL,https://www.10bis.co.il/next/restaurants/menu/delivery/30689/%D7%9E%D7%A1%D7%A2%D7%93%D7%AA-%D7%90%D7%91%D7%A8%D7%94%D7%99%D7%9D,+972 8-924-4377,Restaurant,https://www.google.com/maps/search/?api=1&query=Ibrahim%20Restaurant&query_place_id=ChIJoQbRWlzKAhURkvZx4LaQmaQ
Sashimi by Smokin T’s,4.3,303,Nachal Dolev St 56,Bet Shemesh,,IL,https://tabitisrael.co.il/tabit-order?siteName=smokints&step=enter,+972 2-547-7070,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=Sashimi%20by%20Smokin%20T%E2%80%99s&query_place_id=ChIJe-Jx5p3DAhURWlrgDRNcPv0
פיתה פיתה,4.8,306,Yehuda Margoza St 4,Tel Aviv-Yafo,,IL,https://pitapita.co.il/,+972 3-681-8004,Kosher restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%99%D7%AA%D7%94%20%D7%A4%D7%99%D7%AA%D7%94&query_place_id=ChIJc4H9gr1NHRUR4pfLHuk6958
Japan Japan,4.2,1342,Ha-Hagana St 21,Jerusalem,,PS,http://www.japan-japan.co.il/,+972 2-532-2805,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=Japan%20Japan&query_place_id=ChIJL35emYwpAxURB7Cc6rQIcEQ
Take A Wok By Sheyan Restaurant,4.4,290,Sarei Israel Blvd 15,Jerusalem,,IL,http://www.takeawok.co.il/,+972 2-663-6679,Chinese takeaway,https://www.google.com/maps/search/?api=1&query=Take%20A%20Wok%20By%20Sheyan%20Restaurant&query_place_id=ChIJbS-Ib5zXAhUR4wTrQVWGfDg
Lod Gate Restaurant,4.1,15,Aba Hillel Silver St 2,Lod,,IL,http://www.2eat.co.il/restaurant.aspx?restid=10971,+972 8-924-7879,Restaurant,https://www.google.com/maps/search/?api=1&query=Lod%20Gate%20Restaurant&query_place_id=ChIJwbg7ZuTKAhURa8ea4SKGwa0
De Lux Restaurant,4.2,351,Derech Ben Gurion 51,Bat Yam,,IL,https://www.deluxe-rest.co.il/,+972 3-659-7274,Restaurant,https://www.google.com/maps/search/?api=1&query=De%20Lux%20Restaurant&query_place_id=ChIJM05CyyKzAhURfs_STNSU-JQ
בית האוכל הבוכרי,4.5,389,Ha-Kerem St 2,Ashkelon,,IL,https://buchari-express.co.il/,+972 8-672-2880,Restaurant,https://www.google.com/maps/search/?api=1&query=%D7%91%D7%99%D7%AA%20%D7%94%D7%90%D7%95%D7%9B%D7%9C%20%D7%94%D7%91%D7%95%D7%9B%D7%A8%D7%99&query_place_id=ChIJezaV5W2cAhURtSl_15hvHDU
Bueno kosher Italian restaurant,4.5,1082,"בית השחף, Mohaliver St 2 ב",Yehud-Monosson,,IL,http://www.bueno-rest.co.il/,+972 3-536-1522,Italian restaurant,https://www.google.com/maps/search/?api=1&query=Bueno%20kosher%20Italian%20restaurant&query_place_id=ChIJD6r_wAU1HRURnYy2fSWI7zc
Little Prague,4.4,2499,Derech Ben Gurion 83,Bat Yam,,IL,http://www.littleprague.co.il/,+972 3-551-4623,Czech restaurant,https://www.google.com/maps/search/?api=1&query=Little%20Prague&query_place_id=ChIJr-JiqJW0AhURbyYJY24tsiU
Hayam Hasini Chinese Restaurant,4.3,502,"מרכז הטקסטיל והאופנה, Shenkar St 3",Tel Aviv-Yafo,,IL,https://www.hayamhasini.com/,+972 3-510-7823,Chinese restaurant,https://www.google.com/maps/search/?api=1&query=Hayam%20Hasini%20Chinese%20Restaurant&query_place_id=ChIJi74cr5BMHRUR5v6rg_rPcts
Sicilia,4.3,1539,Retzif HaAliya HaShniya St 101,Tel Aviv-Yafo,,IL,https://sicilia-jaffa.co.il/,+972 3-656-1615,Italian restaurant,https://www.google.com/maps/search/?api=1&query=Sicilia&query_place_id=ChIJ52N-VcdMHRURA7VuAU-794k
Okinawa Sushi Restaurant,4.2,1626,Shabazi St 46,Tel Aviv-Yafo,,IL,http://www.okinawatlv.co.il/,+972 3-510-1099,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=Okinawa%20Sushi%20Restaurant&query_place_id=ChIJ7U-1oZtMHRURFZZDACfUNZ8
סקון נקון,4.4,846,Rothschild St 119,Rishon LeZion,,IL,http://80184954.rest.co.il/,+972 3-649-9434,Thai restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%A7%D7%95%D7%9F%20%D7%A0%D7%A7%D7%95%D7%9F&query_place_id=ChIJWc6AQxS0AhURSPjw6u5uJMc
Eli's Restaurant,4.1,601,Ha-Pisga St 10,Jerusalem,,IL,https://israelbusinessguide.com/catalog/ierusalim/elis_restaurant/,+972 2-530-6363,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=Eli's%20Restaurant&query_place_id=ChIJkSVBsLzXAhURnbAGBsfE0DI
Gracia restaurant - מסעדת גרסיה,4.0,762,Har'el St 10,Mevaseret Zion,,IL,https://www.gracia-rest.co.il/,+972 2-579-0445,Restaurant,https://www.google.com/maps/search/?api=1&query=Gracia%20restaurant%20-%20%D7%9E%D7%A1%D7%A2%D7%93%D7%AA%20%D7%92%D7%A8%D7%A1%D7%99%D7%94&query_place_id=ChIJGaGhoufWAhUR1LLnZyp5xpM
Al-Baghdadi Restaurant,4.6,65,Antonia St 19-21,Jerusalem,,IL,https://m.facebook.com/baghdadirestaurantjerusalem/,+972 2-627-6812,Arab restaurant,https://www.google.com/maps/search/?api=1&query=Al-Baghdadi%20Restaurant&query_place_id=ChIJvY3a-UnXAhURoC4_3n-Ds88
סלון יווני אשדוד,4.5,644,HaTayelet 21,Ashdod,,IL,https://bit.ly/3QGNjue,+972 50-290-2777,Greek restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%9C%D7%95%D7%9F%20%D7%99%D7%95%D7%95%D7%A0%D7%99%20%D7%90%D7%A9%D7%93%D7%95%D7%93&query_place_id=ChIJzexdI6ejAhURwUrqo_22738
רובן אשדוד סטאר סנטר ruben‏,4.5,1613,Jabotinski St 43,Ashdod,,IL,https://www.rubenisrael.co.il/branches/ashdod,+972 8-930-5055,American restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%95%D7%91%D7%9F%20%D7%90%D7%A9%D7%93%D7%95%D7%93%20%D7%A1%D7%98%D7%90%D7%A8%20%D7%A1%D7%A0%D7%98%D7%A8%20ruben%E2%80%8F&query_place_id=ChIJs4k7zdGjAhURxVUlrKPbFvY
Istanbul Samer Turkish Restaurant,4.6,342,"Next to National Hotel East, E-Zahra St 5",Jerusalem,,IL,http://www.facebook.com/istanbul4u,+972 2-627-5511,Restaurant,https://www.google.com/maps/search/?api=1&query=Istanbul%20Samer%20Turkish%20Restaurant&query_place_id=ChIJARPM05QpAxUR_gmIAPOlWyE
אושי אושי אשקלון,4.4,300,Kadesh Blvd,Ashkelon,,IL,https://oshioshi.co.il/%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F/,+972 8-670-2080,Asian restaurant,https://www.google.com/maps/search/?api=1&query=%D7%90%D7%95%D7%A9%D7%99%20%D7%90%D7%95%D7%A9%D7%99%20%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F&query_place_id=ChIJMaOnuqidAhURhvYpHGjU8Kc
המשביע דימונה,4.0,81,David HaMelech St 283,Dimona,,IL,https://hamasbiadimonia.maxshop.co.il/,+972 8-610-9960,Shawarma restaurant,https://www.google.com/maps/search/?api=1&query=%D7%94%D7%9E%D7%A9%D7%91%D7%99%D7%A2%20%D7%93%D7%99%D7%9E%D7%95%D7%A0%D7%94&query_place_id=ChIJj7oK44JHAhURtwsLwcTA9K0
Tampopo,4.6,3744,Derech Ben Gurion 65,Bat Yam,,IL,http://tampopo.co.il/,+972 3-659-4194,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=Tampopo&query_place_id=ChIJWd0vDhizAhUR4Q89I1-nG3k
Cassis Restaurant,4.0,3115,Kidron St 44,Tel Aviv-Yafo,,IL,http://www.cassis.co.il/,+972 3-575-3745,Restaurant,https://www.google.com/maps/search/?api=1&query=Cassis%20Restaurant&query_place_id=ChIJlzaY5TOzAhUR0sWjE5hxO8U
Hai Phong - Chinese Restaurant,4.3,976,HaPeled St 20,Holon,,IL,https://hai-phong.rol.co.il/,+972 3-559-8118,Chinese restaurant,https://www.google.com/maps/search/?api=1&query=Hai%20Phong%20-%20Chinese%20Restaurant&query_place_id=ChIJk4ABO8q0AhURPa7915P3S2w
Namaste,4.3,1923,HaTayelet 20,Ashdod,,IL,https://namaste-ashdod.co.il/,+972 8-856-2437,Indian restaurant,https://www.google.com/maps/search/?api=1&query=Namaste&query_place_id=ChIJgeESVaajAhURqVNxVjshUMg
Petra Restaurant,4.2,6141,Mafkura St 1,Ashdod,,IL,https://www.petrarest.co.il/,+972 8-865-1610,Georgian restaurant,https://www.google.com/maps/search/?api=1&query=Petra%20Restaurant&query_place_id=ChIJ_yBzJK2jAhUR0XAWHg8CDxo
Golden Dragon,4.1,603,Ha'Atsmaut Blvd 67,Bat Yam,,IL,http://drakonhazhav.co.il/,+972 3-506-4965,Thai restaurant,https://www.google.com/maps/search/?api=1&query=Golden%20Dragon&query_place_id=ChIJOUwqQRKzAhURdNxyYjQQCmw
Restaurant da Vinci,4.4,365,Ha-Nasi St 3,Ashkelon,,IL,http://restdavinci.com/,+972 52-667-5759,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20da%20Vinci&query_place_id=ChIJhbduxUacAhURNy-nD5Uatik
Ha-Nasi 1 Pub,4.5,3030,Ha-Nasi St 1,Ashkelon,,IL,http://hanasi1.co.il/,+972 8-673-0209,Restaurant,https://www.google.com/maps/search/?api=1&query=Ha-Nasi%201%20Pub&query_place_id=ChIJDyRQ0UacAhURt5aRlxenAVY
Ze,4.4,1426,"נסיעה עם Waze אל זה אשדוד : https://waze.com/ul/hsv8suhfyx, Mafkura St 1",Ashdod,,IL,https://zehashdod.wixsite.com/menu,+972 50-284-4004,Restaurant,https://www.google.com/maps/search/?api=1&query=Ze&query_place_id=ChIJ0yYf36yjAhURT7a1M31bXyk
Mai Way Asian restaurant,4.4,1157,Tsfanya St 10,Ashkelon,,IL,https://maiway.co.il/,+972 8-676-6657,Asian restaurant,https://www.google.com/maps/search/?api=1&query=Mai%20Way%20Asian%20restaurant&query_place_id=ChIJ-1KE00CcAhURrejyxeZXVrw
GODA גודה,4.6,425,Martin Buber St 1,Ashdod,,IL,https://tabitisrael.co.il/%D7%94%D7%96%D7%9E%D7%A0%D7%AA-%D7%9E%D7%A7%D7%95%D7%9D/create-reservation?step=search&orgId=65d35461330fa6ec4fe5fd65&type=future_reservation,+972 77-938-6105,Restaurant,https://www.google.com/maps/search/?api=1&query=GODA%20%D7%92%D7%95%D7%93%D7%94&query_place_id=ChIJ-7Q4h6CjAhURjdM_PR_a0-M
Ricotta Restaurant,4.0,2184,Kiryat HaMada St 3,Jerusalem,,IL,https://ricotta.co.il/,+972 2-587-0222,Italian restaurant,https://www.google.com/maps/search/?api=1&query=Ricotta%20Restaurant&query_place_id=ChIJNz-fkx7WAhURtx1VcITpkdg
McDonald's,3.4,1383,פרץ סנטר - אזור תעשיה דרומי,Dimona,,IL,https://www.mcdonalds.co.il/,+972 52-944-0139,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=McDonald's&query_place_id=ChIJtfK_RRRGAhURc2lzs4VDr8A
Etzlenu,5.0,14,Sderot Chen 51,Tel Aviv-Yafo,,IL,http://etzlenu.com/,+972 54-236-0781,Soul food restaurant,https://www.google.com/maps/search/?api=1&query=Etzlenu&query_place_id=ChIJpUGNKIRLHRURlNcWgHlh_38
אנונה ביסטרו,4.5,1395,Yiftakh ha-Gil'adi St 17,Ashkelon,,IL,https://order.anona-bistro.co.il/,+972 8-912-3697,Restaurant,https://www.google.com/maps/search/?api=1&query=%D7%90%D7%A0%D7%95%D7%A0%D7%94%20%D7%91%D7%99%D7%A1%D7%98%D7%A8%D7%95&query_place_id=ChIJFVpoQVGcAhURoy2zbZvfN0M
לינדה,4.3,1346,Abba Ahimeir St 5,Ashkelon,,IL,https://lindarest.co.il/,+972 8-684-2754,Chophouse restaurant,https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%99%D7%A0%D7%93%D7%94&query_place_id=ChIJ-3fpATucAhURFexIvnUUQIE
Meatos,4.1,3073,"מגדל אמות השקעות, Weizmann St 2",Tel Aviv-Yafo,,IL,http://www.meatos.co.il/,+972 3-693-2002,Meat dish restaurant,https://www.google.com/maps/search/?api=1&query=Meatos&query_place_id=ChIJ4ckDaJpLHRURgDNCHMVrs94
"Hummus Abu Dabi, Tel Aviv",4.4,1881,King George St 81,Tel Aviv-Yafo,,IL,https://www.abudubi.com/,+972 3-525-9090,Middle Eastern restaurant,https://www.google.com/maps/search/?api=1&query=Hummus%20Abu%20Dabi%2C%20Tel%20Aviv&query_place_id=ChIJ-Qvb44BLHRURjBD2Nanedbs
הניצחון של חני,4.7,430,Yakhin St 1255,Ashkelon,,IL,http://ontopo.com/he/il/page/27027102?source=google,+972 50-200-5810,Romanian restaurant,https://www.google.com/maps/search/?api=1&query=%D7%94%D7%A0%D7%99%D7%A6%D7%97%D7%95%D7%9F%20%D7%A9%D7%9C%20%D7%97%D7%A0%D7%99&query_place_id=ChIJew74_HqdAhURkF9htABdSAA
Fish Chef Restaurant Taiyo (מסעדת תאיו שף דגים),4.0,4086,Derech Ben Gurion 60,Bat Yam,,IL,https://tayo.co.il/,+972 3-656-5650,Restaurant,https://www.google.com/maps/search/?api=1&query=Fish%20Chef%20Restaurant%20Taiyo%20(%D7%9E%D7%A1%D7%A2%D7%93%D7%AA%20%D7%AA%D7%90%D7%99%D7%95%20%D7%A9%D7%A3%20%D7%93%D7%92%D7%99%D7%9D)&query_place_id=ChIJSbcIvBmzAhUREi2rAIgRRO0
Idi Fish Restaurant,4.3,3063,Ha-Bosem St 6,Ashdod,,IL,http://www.ididagim.co.il/,+972 8-852-4313,Seafood restaurant,https://www.google.com/maps/search/?api=1&query=Idi%20Fish%20Restaurant&query_place_id=ChIJc6iojGejAhURaSb-cX9Gwn4
Alena restaurant,4.2,1056,Nachmani St 23-25,Tel Aviv-Yafo,,IL,https://www.thenorman.co.il/restaurants-and-bar/alena/,+972 3-543-5400,Restaurant,https://www.google.com/maps/search/?api=1&query=Alena%20restaurant&query_place_id=ChIJOxaZmH1LHRURboLnTyBU6M8
Otman Brothers Restaurant,4.3,2089,Herzl St 4,Gedera,,IL,https://israelbusinessguide.com/catalog/gedera/otman_brothers_restaurant/,+972 8-859-2453,Barbecue restaurant,https://www.google.com/maps/search/?api=1&query=Otman%20Brothers%20Restaurant&query_place_id=ChIJtfMizea7AhURHix3ZiSHtXc
imerSion - The First immersive restaurant in Israel,4.5,148,Kaufmann St 13,Tel Aviv-Yafo,,IL,https://imersion.co.il/,+972 52-514-2977,Restaurant,https://www.google.com/maps/search/?api=1&query=imerSion%20-%20The%20First%20immersive%20restaurant%20in%20Israel&query_place_id=ChIJS_JG-U5NHRURt4HQjiCf3mA
Ben-Sira Hummus,4.4,3343,Ben Sira St 3,Jerusalem,,IL,https://israelbusinessguide.com/catalog/ierusalim/ben-sira_hummus/,+972 2-625-3893,Israeli restaurant,https://www.google.com/maps/search/?api=1&query=Ben-Sira%20Hummus&query_place_id=ChIJIyRMQNEpAxURtZJ59FrYWVE
Adom Restaurant,4.3,2764,Hillel St 41,Jerusalem,,IL,https://www.adom.rest/,+972 2-624-6242,Brasserie,https://www.google.com/maps/search/?api=1&query=Adom%20Restaurant&query_place_id=ChIJDRnGvS0oAxURirWSHO6lXjg
מסעדת בלקאאוט - Blackout restaurant,4.4,175,"רציף העלייה השנייה, נמל, חניה קרובה: חניון נמל יפו",Tel Aviv-Yafo,,IL,https://nalagaat.org.il/blackoutrestaurant/,+972 3-633-0808,Restaurant,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A1%D7%A2%D7%93%D7%AA%20%D7%91%D7%9C%D7%A7%D7%90%D7%90%D7%95%D7%98%20-%20Blackout%20restaurant&query_place_id=ChIJAXBgocdMHRURJd6Qr07F5_8
Cafe Lyon,4.5,613,HaNamal St 2,Ashkelon,,IL,https://www.facebook.com/cafe.lyon.ashkelon,+972 8-665-3667,Kosher restaurant,https://www.google.com/maps/search/?api=1&query=Cafe%20Lyon&query_place_id=ChIJFwUyi_2dAhURsfBNwEOJ0XY
Yaffa Knafeh,4.6,4394,Olei Zion St 24,Tel Aviv-Yafo,,IL,https://yaffaknafeh.com/,+972 3-970-2051,Restaurant,https://www.google.com/maps/search/?api=1&query=Yaffa%20Knafeh&query_place_id=ChIJUUPifuBNHRURxN-ZeQLbAdQ
Kaful,4.3,306,Nahalat Binyamin St 2,Tel Aviv-Yafo,,IL,https://kaful.co.il/,+972 77-231-8259,Restaurant,https://www.google.com/maps/search/?api=1&query=Kaful&query_place_id=ChIJe6iZY4FMHRUR9wC-Dc01At0
The Culinary Workshop,4.4,1876,Hebron Rd 28,Jerusalem,,IL,http://www.sdnrest.com/,+972 2-567-2265,Restaurant,https://www.google.com/maps/search/?api=1&query=The%20Culinary%20Workshop&query_place_id=ChIJTTLKEC4oAxURJjjH4385I5Q
Gojo Restaurant,4.7,1152,Israel Teller St 32,Rehovot,,IL,https://gojo.co.il/,+972 8-996-4644,Ethiopian restaurant,https://www.google.com/maps/search/?api=1&query=Gojo%20Restaurant&query_place_id=ChIJMduiRAS3AhURdSWx8DsptL4
Akbar,4.3,2745,Nakhman St 2,Tel Aviv-Yafo,,IL,http://akbar.co.il/,+972 54-605-5190,Restaurant,https://www.google.com/maps/search/?api=1&query=Akbar&query_place_id=ChIJf2AoP7lMHRURsEdUt4jz29s
Dallal Restaurant,4.1,3654,Shabazi St 10,Tel Aviv-Yafo,,IL,http://www.dallal.co.il/,+972 3-510-9292,Restaurant,https://www.google.com/maps/search/?api=1&query=Dallal%20Restaurant&query_place_id=ChIJIaam_JlMHRURmoGSrDoKiMQ
Meshek Barzilay,4.4,3915,Ahad Ha'Am St 6,Tel Aviv-Yafo,,IL,http://www.meshekbarzilay.co.il/,+972 3-516-6329,Vegan restaurant,https://www.google.com/maps/search/?api=1&query=Meshek%20Barzilay&query_place_id=ChIJVV3QfJtMHRURPY_eDNKOXIY
Теnat,4.6,712,Chlenov St 27,Tel Aviv-Yafo,,IL,https://m.facebook.com/tenatvegan/,+972 3-522-2829,Ethiopian restaurant,https://www.google.com/maps/search/?api=1&query=%D0%A2%D0%B5nat&query_place_id=ChIJSYOY6GFLHRUR-p_vhAwGnog
